file,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,zcr,rms,label
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-01-01-01.wav,-726.2172,68.54142,3.2933977,12.2053,5.5102777,13.66741,-2.9838283,3.0980291,-3.3108134,-1.5643843,-7.861652,-2.1242816,2.849204,0.0504756804435483,0.0021197072,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-01-02-01.wav,-719.1283,70.20157,1.168397,13.122543,7.83695,14.41129,-4.1113596,4.468973,-3.5393667,-3.658608,-7.648504,-1.4770776,3.031821,0.0529044154353035,0.0022580326,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-02-01-01.wav,-714.9957,69.68935,3.9245636,11.92419,6.4217234,11.011614,-2.878103,4.5095577,-4.476109,-2.6715493,-7.4992833,-2.9622655,1.8734848,0.0466268831433224,0.0027071815,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-01-01-02-02-01.wav,-710.9753,67.56489,5.7822413,13.230727,6.1908455,12.628252,-1.6751693,5.6574936,-4.950634,-3.4775453,-7.4165573,-1.9370041,2.2715254,0.0538354656040268,0.0025207684,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-01-01-01.wav,-759.92175,75.78352,6.0236053,14.557394,6.4541883,14.631508,-3.004551,4.6209702,-5.200016,-0.70743024,-7.7902875,-3.5649483,2.18097,0.0459293227597891,0.0015786955,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-01-02-01.wav,-735.0066,79.09305,8.141051,11.41355,5.174124,15.393285,-2.7520719,2.9645836,-5.388972,-1.6918324,-5.8528347,-4.0432878,3.0046408,0.0330384384245562,0.0016762057,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-02-01-01.wav,-733.5249,81.58986,4.8633575,14.423686,5.2676888,13.96856,-3.0856166,7.1732454,-4.8214383,-0.9674488,-6.2504735,-3.8666399,3.3255188,0.0459503823138297,0.0025555012,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-01-02-02-01.wav,-728.363,82.324936,7.5005765,12.542464,6.788125,14.805659,-2.9095802,6.9378386,-4.84434,-1.8469235,-5.6877103,-3.6666536,2.2403512,0.0476433689608895,0.0026076469,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-02-01-01-01.wav,-771.62524,83.32755,9.759607,14.268048,6.201726,16.020977,-2.8468978,4.4702497,-5.536262,0.87879485,-5.3482485,-3.029556,2.3405735,0.0362422548491379,0.0014528487,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-02-01-02-01.wav,-733.9896,82.99157,3.796794,13.411559,3.1084964,16.039553,-5.652945,5.5606713,-7.840987,-1.1772105,-5.7287865,-4.109694,3.8823817,0.0448829163896276,0.0015512242,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-02-02-01-01.wav,-735.9587,83.71625,8.72074,16.973064,1.3004175,16.308208,-2.9989035,8.180384,-9.681773,1.4794084,-8.105539,-3.2144182,3.27963,0.0515254153481012,0.002051211,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-02-02-02-02-01.wav,-724.8058,83.05965,0.8636632,13.715781,5.3935227,15.342071,-3.8907716,6.682707,-9.109154,-2.3108945,-7.557554,-2.6653073,4.4087,0.0510877244015957,0.0020813276,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-01-01-01-01.wav,-679.53876,78.69846,0.6677377,10.390019,5.2070203,11.5252285,-7.0435305,2.0349188,-6.769452,-3.4523165,-8.604058,-2.1430967,2.1536028,0.0557015073811349,0.004056211,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-01-01-02-01.wav,-658.3063,78.063484,-0.78696334,10.139038,8.304726,12.286283,-4.8716974,0.52415824,-5.5969224,-3.2145643,-9.875024,-1.7062539,3.7575343,0.0390310462998466,0.004627866,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-01-02-01-01.wav,-693.60925,77.67328,2.3561034,12.037887,5.272909,9.537619,-5.2778487,3.814017,-8.264009,-3.2064867,-11.793282,-2.4545708,4.334239,0.0486619328878012,0.0036503486,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-01-02-02-01.wav,-683.93146,74.13294,1.0578562,17.886679,6.339445,11.593822,-5.891603,6.8250275,-6.587666,-1.8747079,-10.637551,-2.1259463,2.7909563,0.0566279970366379,0.0036507975,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-02-01-01-01.wav,-627.4205,67.704384,-6.669489,9.967615,-3.0760913,7.208737,-5.0634565,-2.9935553,-10.524828,-4.989577,-8.107446,-8.362473,0.3314783,0.0630222486413043,0.006117453,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-02-01-02-01.wav,-591.9702,72.971,-6.905822,4.645147,0.41286436,8.77231,-4.1541224,-3.5272965,-8.41551,-5.53817,-10.657866,-7.126158,4.071781,0.0531582203079178,0.0077350195,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-02-02-01-01.wav,-554.2307,70.283676,-10.080169,11.619575,-1.2718135,10.0290985,-6.932471,-0.29826075,-9.17895,-6.3009877,-12.87689,-5.181731,3.789686,0.0670383762668919,0.010461957,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-03-02-02-02-01.wav,-568.1388,70.80917,-8.760222,11.967098,-2.9723804,10.001248,-8.551405,0.02781801,-9.052507,-6.328847,-12.138224,-7.0935783,1.7016895,0.0594884923986486,0.009871895,0
C:\Users\JT Lappy\Desktop\phase2\voice_fatigue_detection\data\raw\english\ravdess\Actor_01\03-01-04-01-01-01-01.wav,-715.8727,74.985306,2.9195237,11.441712,6.960729,13.466071,-6.72605,4.7315607,-6.0603504,-5.0608444,-7.6180463,-3.5482144,-1.2796026,0.0394070095486111,0.0020295018,1
